merged_symbol	merged_geneid	replaced_geneid	replaced_discontinued_geneid	replaced_discontinued_symbol	replaced_date	GeneID	Discontinued_GeneID	Discontinued_Symbol	Discontinue_Date
AGFG2	3268	3268	10366	RAB-R	20050510				
AGGF1	55109	55109	153457	LOC153457	20050510				
AGGF1	55109	55109	29905	HSU84971	20050510				
AGGF1P2	644435	644435	100421773	LOC100421773	20100811				
AGGF1P3	391552	391552	101929030	LOC101929030	20140206				
AGKP1	359793	359793	100419094	LOC100419094	20100811				
AGMAT	79814	79814	100507192	LOC100507192	20110701				
AGMO	392636	392636	442510	LOC442510	20050510				
AGO1	26523	26523	23631	GERP95	20050510				
AGO2	27161	27161	286109	CASC7	20170120				
AGO3	192669	192669	79910	AGO3	20050510				
AGO4	192670	192670	54791	AGO4	20050506				
AGPAT1	10554	10554	84827	MGC5423	20050510				
AGPAT2	10555	10555	114133	BSCL1	20050510				
AGPAT2	10555	10555	203278	LOC203278	20050510				
AGPAT2	10555	10555	681	BSCL	20050508				
AGPAT3	56894	56894	83745	MGC4604	20050510				
AGPAT6	137964	137964	574440	AGPAT6	20050921				
AGRN	375790	375790	180	AGRN	20050510				
AGRN	375790	375790	284602	AGRN	20050510				
AGRN	375790	375790	339452	LOC339452	20050510				
AGRN	375790	375790	348522	LOC348522	20050510				
AGRN	375790	375790	389836	LOC389836	20050502				
AGTR1	185	185	9449	AGTR1B	20050502				
AGXT	189	189	51432	TLH6	20050510				
AHCTF1	25909	25909	442770	LOC442770	20050520				
AHCTF1P1	285116	285116	100421290	LOC100421290	20110131				
AHCTF1P1	285116	285116	282597	ELYS-like	20050510				
AHCYL1	10768	10768	113772	LOC113772	20050510				
AHCYL1	10768	10768	115541	LOC115541	20050510				
AHCYL1	10768	10768	29039	PRO0233	20050510				
AHCYL2	23382	23382	114956	LOC114956	20050510				
AHCYP2	392387	392387	647813	LOC647813	20070619				
AHCYP5	391470	391470	642126	LOC642126	20070619				
AHCYP6	100419714	100419714	101930163	LOC101930163	20150315				
AHCYP7	645486	645486	650461	LOC650461	20060323				
AHNAK	79026	79026	195	AHNAK	20050510				
AHNAK	79026	79026	54730	AHNAKRS	20050509				
AHNAK2	113146	113146	283639	LOC283639	20050509				
AHNAK2	113146	113146	730269	LOC730269	20080304				
AHRR	57491	57491	153479	LOC153479	20050502				
AHRR	57491	57491	194	AHRR	20050510				
AHRR	57491	57491	256948	LOC256948	20050510				
AIDA	64853	64853	82101	LOC82101	20050510				
AIDA	64853	64853	92615	LOC92615	20050510				
AIF1	199	199	113124	LOC113124	20050510				
AIF1	199	199	116399	LOC116399	20050510				
AIF1	199	199	82550	LOC82550	20050510				
AIF1	199	199	93318	LOC93318	20050510				
AIF1	199	199	9471	IRT-1	20050510				
AIFM1	9131	9131	4672	NAMSD	20140131				
AIFM1	9131	9131	751798	AUNX1	20190710				
AIFM1P1	645120	645120	650237	LOC650237	20070619				
AIFM2	84883	84883	23573	PRG3	20050518				
AIFM2	84883	84883	84794	MGC13000	20050510				
AIG1	51390	51390	51638	LOC51638	20050510				
AIM1	202	202	6763	ST4	20070719				
AIM1L	55057	55057	50845	AIM1L	20050510				
AIM1L	55057	55057	644849	FLJ38020	20070704				
AIM1L	55057	55057	647881	LOC647881	20060312				
AIMP1	9255	9255	114970	LOC114970	20050510				
AIMP1P1	170547	170547	100422554	LOC100422554	20100813				
AIMP2	7965	7965	55436	PRO0992	20050510				
AIP	9049	9049	50821	SMTPHN	20070525				
AK2	204	204	83165	LOC83165	20050510				
AK2P1	266920	266920	100419076	LOC100419076	20100814				
AK2P2	339736	339736	100462769	LOC100462769	20100811				
AK3	50808	50808	26288	AK6	20050510				
AK3P2	100419074	100419074	619460	AK3P2	20111206				
AK4	205	205	387851	AK3L2	20080118				
AK4P3	645619	645619	654037	LOC654037	20060328				
AK4P3	645619	645619	731007	LOC731007	20070619				
AK4P6	649288	649288	351655	LOC351655	20050510				
AK9	221264	221264	222521	C6orf224	20090521				
AK9	221264	221264	353507	C6orf199	20050510				
AK9	221264	221264	401271	AKD1	20090521				
AKAP1	8165	8165	5560	PRKA1	20050509				
AKAP11	11215	11215	51707	LOC51707	20050510				
AKAP11	11215	11215	79988	FLJ11304	20050510				
AKAP12	9590	9590	9614	GRAVIN	20050503				
AKAP13	11214	11214	3928	LBC	20050510				
AKAP13	11214	11214	84122	FLJ11952	20050510				
AKAP17A	8227	8227	8280	XE7Y	20050510				
AKAP7	9465	9465	51743	LOC51743	20050510				
AKAP7	9465	9465	82947	LOC82947	20050510				
AKAP9	10142	10142	10582	AKAP450	20050510				
AKNA	80709	80709	158267	LOC158267	20070912				
AKR1B10	57016	57016	9405	AKR1B11	20050510				
AKR1B10P2	643582	643582	642174	LOC642174	20060713				
AKR1B15	441282	441282	442622	LOC442622	20051210				
AKR1B1P1	401982	401982	100422415	LOC100422415	20100811				
AKR1B1P1	401982	401982	232	ALDRL1	20070710				
AKR1B1P2	236	236	100422406	LOC100422406	20100811				
AKR1B1P3	729347	729347	100422421	LOC100422421	20100811				
AKR1B1P3	729347	729347	234	AKR1B1P3	20071010				
AKR1B1P3	729347	729347	651742	LOC651742	20070621				
AKR1B1P4	390402	390402	100422423	LOC100422423	20100811				
AKR1B1P4	390402	390402	235	ALDRL4	20070718				
AKR1B1P5	390482	390482	100422435	LOC100422435	20100811				
AKR1B1P5	390482	390482	378880	AKR1B1P5	20071010				
AKR1B1P6	100129769	100129769	100113376	AKR1B1P6	20100417				
AKR1B1P7	126242	126242	100422419	LOC100422419	20100811				
AKR1B1P8	392525	392525	100422410	LOC100422410	20100811				
AKR1C1	1645	1645	9418	HAKRC	20050510				
AKR1C2	1646	1646	100134257	LOC100134257	20090911				
AKR1C2	1646	1646	100508006	LOC100508006	20110803				
AKR1C2	1646	1646	100653286	LOC100653286	20121102				
AKR1C2	1646	1646	266745	AKR1C-pseudo	20050510				
AKR1C2	1646	1646	6994	TDD	20141122				
AKR1C3	8644	8644	22946	HSD17B5	20050505				
AKR1C3	8644	8644	51708	LOC51708	20050510				
AKR1C3	8644	8644	88015	LOC88015	20050510				
AKR1C3	8644	8644	93037	LOC93037	20050510				
AKR1C3	8644	8644	96424	LOC96424	20050510				
AKR1CL1	340811	340811	439947	LOC439947	20050502				
AKR1D1P1	80701	80701	100422621	LOC100422621	20100819				
AKR1D1P1	80701	80701	23674	SRD5BP1	20050510				
